,2019-04-17,2019-04-18
融资融券,34.0,16.0
转融券标的,34.0,16.0
新能源,29.0,11.0
深股通,28.0,10.0
新能源汽车,27.0,10.0
地方国资改革,25.0,12.0
燃料电池,25.0,10.0
氢能源,18.0,11.0
年报预增,17.0,5.0
锂电池,17.0,9.0
股权转让,17.0,6.0
沪股通,17.0,11.0
汽车制造概念,15.0,1.0
新能源整车,14.0,3.0
物联网,10.0,4.0
工业大麻,10.0,4.0
新材料概念,9.0,6.0
特斯拉,9.0,3.0
新股与次新股,9.0,5.0
机器人概念,9.0,3.0
无人驾驶,9.0,2.0
独角兽概念,8.0,6.0
军工,8.0,10.0
MSCI概念,8.0,2.0
5G,8.0,9.0
PPP概念,7.0,6.0
融资租赁,7.0,4.0
证金持股,7.0,6.0
中医药,7.0,2.0
央企国资改革,7.0,7.0
文化传媒,7.0,5.0
光伏概念,7.0,5.0
轨道交通,6.0,5.0
大数据,6.0,4.0
医保目录,6.0,2.0
互联网+,6.0,3.0
华为概念,6.0,3.0
工业4.0,6.0,2.0
新基建,6.0,7.0
智能汽车,6.0,1.0
工业机器人,6.0,2.0
创投,6.0,4.0
抗癌,6.0,0.0
雄安新区,6.0,3.0
一带一路,6.0,10.0
车联网,6.0,0.0
军民融合,5.0,6.0
央企控股,5.0,4.0
互联网医疗,5.0,2.0
养老概念,5.0,0.0
小金属概念,5.0,4.0
储能,5.0,1.0
电子信息,5.0,6.0
平潭免税区,5.0,3.0
煤化工,5.0,3.0
玻璃,5.0,0.0
智慧城市,5.0,0.0
污水处理,5.0,3.0
百度概念,5.0,1.0
节能环保,5.0,6.0
宁德时代概念,5.0,3.0
白马股,5.0,2.0
3D玻璃,5.0,2.0
智能家居,4.0,0.0
太阳能,4.0,4.0
饲料,4.0,1.0
国资驰援,4.0,2.0
体育产业,4.0,1.0
粗苯,4.0,1.0
天然气,4.0,4.0
安防,4.0,1.0
小额贷款,4.0,4.0
苹果概念,4.0,2.0
涉矿,4.0,2.0
高送转,4.0,1.0
元器件,4.0,2.0
商誉减值,4.0,1.0
纳米,4.0,2.0
影视娱乐,4.0,2.0
风电,4.0,4.0
电子商务,4.0,4.0
锂电制造,4.0,1.0
健康中国,4.0,0.0
参股新三板,4.0,2.0
甲醇,4.0,1.0
智能交通,4.0,1.0
云南国资改革,4.0,1.0
参股保险,4.0,3.0
华为汽车,4.0,1.0
柔性屏,4.0,2.0
互联网金融,4.0,6.0
福建自贸区,4.0,4.0
固废处理,4.0,2.0
振兴东北,3.0,1.0
人民币贬值受益,3.0,1.0
汽车电子,3.0,0.0
锂电隔膜,3.0,0.0
核电,3.0,2.0
网约车,3.0,1.0
OLED,3.0,0.0
智能终端,3.0,0.0
区块链,3.0,3.0
稀土永磁,3.0,1.0
土壤修复,3.0,0.0
高铁,3.0,0.0
PM2.5,3.0,2.0
流感,3.0,1.0
节能照明,3.0,0.0
通信基站,3.0,1.0
兽药,3.0,0.0
超清视频,3.0,1.0
物流骨干网,3.0,0.0
高端装备,3.0,6.0
猪肉,3.0,1.0
禽流感,3.0,1.0
低碳,3.0,1.0
医疗器械概念,3.0,0.0
富士康概念,3.0,4.0
智能医疗,3.0,1.0
焦炭,3.0,1.0
网络游戏,3.0,1.0
LNG加气站,3.0,1.0
无人岛开发,3.0,2.0
民营医院,3.0,1.0
超级电容,3.0,3.0
村镇银行,3.0,1.0
送转填权,3.0,0.0
充电桩,3.0,1.0
乡村振兴,3.0,4.0
创新药,3.0,0.0
供应链金融,3.0,4.0
台湾概念股,3.0,5.0
成渝特区,3.0,2.0
节能电机,3.0,0.0
债转股,3.0,2.0
海峡西岸,3.0,2.0
