股票代码,股票简称,开盘价,收盘价,最高价,最低价,成交量(股),涨跌幅(%),5日均线,10日均线,20日均线,30日均线,60日均线,MACD,BOLL上轨,BOLL中轨,BOLL下轨,kdj(k值),kdj(d值),kdj(j值),a股流通市值,所属行业,所属概念,上市天数,技术形态
600519.SH,贵州茅台,959.5,949.2,978.89,940.61,4062796.0,-0.35,947.83,933.84,882.75,848.10,784.82,5.06,1005.98,882.75,759.52,78.19,82.32,69.92,1192382950000.0,食品饮料-饮料制造-白酒,春节概念;超级品牌;收入改革;MSCI概念;老字号;大消费;央视财经50;黔中经济区;融资融券;沪股通;转融券标的;贵州国资改革;地方国资改革;白酒概念,6447,缩量||月线长下影线||回调缩量
000661.SZ,长春高新,311.0,299.8,311.2,299.1,2025140.0,-3.68,304.75,304.34,305.50,299.69,249.23,-7.36,322.78,305.50,288.22,40.39,40.28,40.61,50968352000.0,医药生物-生物制品-生物制品Ⅲ,兽药;振兴东北;生物医药;参股新三板;中朝贸易区;霍乱;手足口病疫苗;不孕不育;抗艾滋病;狂犬病;融资融券;儿童医药医疗;深股通;二胎概念;转融券标的;创新药;医保目录;生物疫苗;吉林国资改革;地方国资改革;MSCI预期;证金持股,8160,缩量||回调缩量||阴线
603444.SH,吉比特,223.93,226.2,229.8,223.93,558601.0,0.85,223.37,221.95,213.75,209.03,184.90,-0.6,236.21,213.75,191.29,52.38,54.44,48.26,9397959900.0,信息服务-传媒-其他传媒,沪股通;网络游戏;白马股;手机游戏;养老金持股,838,价升量涨||缩量||阳线
300751.SZ,迈为股份,185.5,179.59,185.94,179.5,301182.0,-2.57,180.42,176.34,173.83,173.12,170.68,1.42,188.96,173.83,158.71,69.65,63.08,82.8,2334670000.0,机械设备-电气设备-电源设备,新股与次新股;太阳能;光伏概念;长三角一体化,164,缩量||价跌量缩||回调缩量
300747.SZ,锐科激光,156.4,149.01,156.4,149.01,2190093.0,-4.73,155.00,155.94,165.11,169.98,155.05,-4.96,185.89,165.11,144.34,21.1,22.31,18.67,4768320000.0,电子-其他电子-其他电子Ⅲ,光纤光缆;新股与次新股;5G;国产替代;光纤;激光器;央企国资改革;深股通;高送转,301,放量||阴线||价跌量升
603160.SH,汇顶科技,132.19,133.5,137.0,130.22,3178680.0,1.29,130.13,117.46,110.62,107.18,94.68,5.41,135.39,110.62,85.86,86.1,77.74,102.82,30918010000.0,电子-半导体及元件-集成电路,人工智能;智能家居;国家大基金持股;AI芯片;沪股通;物联网;全面屏;芯片概念;人机交互;小米概念;人脸识别;屏下指纹技术;指纹技术;芯片设计;集成电路概念;华为概念;机构重仓;白马股,917,价升量涨||放量||阳线
300760.SZ,迈瑞医疗,127.86,128.0,129.1,126.3,1361592.0,0.07,127.36,128.13,129.64,130.02,123.01,-1.47,135.08,129.64,124.19,40.85,32.93,56.69,15564800000.0,医药生物-医疗器械服务-医疗器械Ⅲ,体外诊断;医学影像;独角兽概念;新股与次新股;医疗器械概念;深股通;MSCI预期,188,价升量缩||缩量||阳线
002916.SZ,深南电路,125.68,124.4,130.54,124.36,3889046.0,-1.02,124.42,121.74,122.08,121.99,113.39,-0.43,132.00,122.08,112.17,67.44,58.74,84.83,10221790500.0,电子-半导体及元件-印制电路板,存储芯片;富士康概念;芯片概念;5G;深股通;通信基站;芯片封装测试;集成电路概念;苹果概念;中航系;华为概念;央企国资改革;年报预增;MSCI预期,495,放量||月线长下影线||阴线
002304.SZ,洋河股份,123.73,121.49,126.5,120.56,8449160.0,-1.38,121.59,122.13,122.02,119.75,113.03,-1.36,130.83,122.02,113.21,41.38,40.36,43.42,151139860000.0,食品饮料-饮料制造-白酒,MSCI概念;超级品牌;老字号;大消费;融资融券;深股通;转融券标的;地方国资改革;白酒概念;科创板IPO,3454,缩量||月线长下影线||回调缩量
603833.SH,欧派家居,120.95,116.56,121.48,113.0,1641385.0,-3.67,120.62,120.96,120.95,115.41,104.80,-2.47,127.36,120.95,114.53,39.43,45.74,26.81,10736125100.0,轻工制造-家用轻工-家具,沪股通;白马股;全屋定制;大消费;MSCI概念,755,放量||月线长下影线||阴线
600436.SH,片仔癀,117.2,116.5,118.19,115.01,3926981.0,-0.52,117.04,117.93,115.96,112.75,105.54,-1.3,123.23,115.96,108.68,23.64,32.74,5.45,70286455000.0,医药生物-中药-中药Ⅲ,抗癌;登革热;多肽药;海峡西岸;老字号;融资融券;沪股通;转融券标的;中医药;健康中国;MSCI概念;冬虫夏草;地方国资改革;保健品;证金持股,5789,缩量||回调缩量||阴线
000596.SZ,古井贡酒,111.0,109.79,115.57,109.23,1457479.0,-2.63,108.63,107.07,106.37,101.54,86.56,-1.3,114.29,106.37,98.45,59.88,50.6,78.43,42115444000.0,食品饮料-饮料制造-白酒,大消费;参股券商;鸡尾酒;老字号;融资融券;深股通;转融券标的;B转H;央视财经50;安徽国资改革;地方国资改革;白酒概念;MSCI预期,8242,缩量||价跌量缩||月线长下影线
603383.SH,顶点软件,110.0,106.36,110.0,104.5,2153746.0,-2.57,109.80,111.46,104.70,97.22,71.44,-3.97,126.96,104.70,82.44,25.23,36.72,2.25,6170700900.0,信息服务-计算机应用-软件开发及服务,国产软件;金融科技;数字中国;互联网金融,700,缩量||回调缩量||阴线
300628.SZ,亿联网络,109.7,100.3,109.7,99.51,3444829.0,-8.36,101.27,98.56,97.36,97.93,90.88,0.95,104.33,97.36,90.40,65.65,62.2,72.53,7490404000.0,信息设备-通信设备-终端设备,云通信;深股通;白马股;MSCI预期;超清视频,766,放量||强中选强||价跌量缩
300033.SZ,同花顺,107.92,102.06,108.0,100.53,11579397.0,-4.18,105.65,109.70,108.27,101.48,80.36,-5.63,130.48,108.27,86.06,15.71,25.32,-3.51,26974698000.0,信息服务-计算机应用-软件开发及服务,基金三方销售;金融信息服务;大数据;融资融券;机器人概念;电子信息;电子商务;移动互联网;金融科技;深股通;服务机器人;转融券标的;智能金融;人工智能;互联网+;MSCI预期;互联网金融;国产软件,3405,缩量||回调缩量||阴线
300613.SZ,富瀚微,103.47,101.3,103.47,101.3,254883.0,-1.96,103.52,104.29,106.44,108.66,105.46,-1.32,112.13,106.44,100.75,26.36,27.03,25.01,1311277850.0,电子-半导体及元件-集成电路,AI芯片;芯片设计;人工智能;安防;芯片概念;集成电路概念;超清视频,791,缩量||价跌量缩||回调缩量
000858.SZ,五粮液,101.0,101.13,103.9,100.5,35074375.0,-0.52,102.19,102.80,97.94,92.40,79.22,-1.7,112.05,97.94,83.83,40.79,49.1,24.16,383866060000.0,食品饮料-饮料制造-白酒,P2P概念;春节概念;MSCI概念;收入改革;成渝特区;老字号;循环经济;融资融券;深股通;转融券标的;超级品牌;地方国资改革;大消费;白酒概念,7665,缩量||阳线||回调缩量
002912.SZ,中新赛克,100.8,103.25,105.21,97.2,2334605.0,2.32,102.68,104.05,108.92,111.52,103.78,-2.45,121.10,108.92,96.74,36.87,30.53,49.53,5251542800.0,信息设备-计算机设备-计算机设备Ⅲ,国产软件;5G;深股通;深圳国资改革;广东国资改革;地方国资改革;大数据;网络安全;养老金持股,517,价升量涨||放量||阳线
603986.SH,兆易创新,99.51,100.11,103.3,98.59,5384848.0,1.02,100.86,102.77,103.82,103.91,91.70,-3.05,114.53,103.82,93.11,23.74,27.74,15.73,20762532000.0,电子-半导体及元件-集成电路,汽车电子;国家大基金持股;存储芯片;芯片制造;芯片设计;芯片概念;AI芯片;人工智能;内存;MCU;集成电路概念;物联网;沪股通;超清视频,977,价升量涨||缩量||阳线
300454.SZ,深信服,99.01,101.55,101.55,98.13,650410.0,1.96,99.11,98.28,99.89,100.80,95.84,-0.24,105.26,99.89,94.52,67.22,47.14,107.37,4063015500.0,信息服务-计算机应用-软件开发及服务,新股与次新股;云计算;网络安全;深股通;态势感知,341,价升量涨||缩量||阳线
